essay_id	essay_set	essay	rater1_domain1	rater2_domain1	rater3_domain1	domain1_score	rater1_domain2	rater2_domain2	domain2_score	rater1_trait1	rater1_trait2	rater1_trait3	rater1_trait4	rater1_trait5	rater1_trait6	rater2_trait1	rater2_trait2	rater2_trait3	rater2_trait4	rater2_trait5	rater2_trait6	rater3_trait1	rater3_trait2	rater3_trait3	rater3_trait4	rater3_trait5	rater3_trait6
1	3	The features of the setting affect the cyclist in many ways. The features of the setting that affect the cyclist is the lact of information on were to go and the lack of water. This was a problem because he needed water for his trip and directions on were to go.  	1	1		1																					
2	3	"The features of the setting affected the cyclist in a negative way. He was in the desert, which is dry and hot. �I was traveling through the high deserts of California in June.""(Kurmaskie @NUM1). Also, the  temperature was hot and made every thing around him hot, �brackish water faling somewhere in the neighborhood of two hundred degrees"" (Kurmaskie @NUM1). Since he was in the desert, there was no escape from the sun. The text  states, �The sun was beginning to beat down�(Kurmaskie @NUM3). The cyclist was all alone in the road with none around him either so into he passed out, no one could help him. � and the growing realization that I could drop from heatstroke on a gorgous day in June�(Kurmaskie @NUM1). ""About forty miles into the pedal, I arrived at the first �town� but on that morning it fit the traditional definition of a ghost town."" (Kurmaskie @NUM3). Thesettings that the cyclist was riding in wasn't good ones and so they negativly affected him; causing him to be dehydrated and tiredin the end."	2	2		2																					
3	3	Everyone travels to unfamiliar places. Sometimes we get lost and ask locals for directions which @MONTH1 not be a good idea. The setting affected the cyclist. He had a perfectly good map but asked older men who look like they haven�t been out in ages. The old men apparently haven�t been out because they gave the cyclist the wrong directions.  My advice would be to not listen to anyone no matter their age if you have a perfectly good map with you. Also try to know where you are going at all times. �Yes, sir!	1	1		1																					
5	3	The setting effects the cyclist because of the setting were diffrent the story would not of made sense. The setting of the story is not and dry with scaterd ghost towns. When he reaches the first �town� he sees �One ramshackle sheds several rusty pumps and a coral that couldnt hold the lamesh mule.� If the setting had the problem of no water so there would be no conflict in the story, �In the story the speeker says �I was travling through the high deserts of California� that are very hot and dry, and he says �This causes the problem of it being hot and dry if the seting was a forest in @DATE1 he wouldn�t have as much of a problem needing water which would of made the story much less exciting.	2	2		2																					
6	3	There were many features of the setting that affected the cyclist. For instance, it was extremely hot and dry. Also it  was nearly deserted, almost all of the places he crossed were deserted .A  lost her features of the setting were a ram shackle shed, several rusty pumps, and a corral that caldnt hald in the lamest move.an is the feature give you an idea if haw the cyclist feels.  	1	1		1																					
8	3	The affects of the cyclist is if it does not change. it cut hurt a lot of people feeling because they @CAPS1 don�t care about the cyclist. I�m one of them people who does not care about it cause it does not affect me or anyone I know. It is a big deal to write people, some of them @CAPS1 blow stuff up. They talking on tiv and on the radio making all this stuff they say is made up. I don�t believe to I see it. That @CAPS1 not for black people because it has not did anything to us. We really don�t care about the affects of the cyclist.	0	0		0																					
10	3	In the story, �Rough Road Ahead: Do Not Exceed Posted Speed Limit� written by Joe Kurmaskie, represents how certain conditions can affect a cyclist. The cyclist was biking through the desert to reach Yosemite National Park, but on his journey he accoutered many tough conditions to make it difficult to get there. First of all, the desert was very hot which makes travel very difficult. For example the text states, �the sun was beginning to beat down.� @CAPS1 makes any task difficult because the sun drain�s a person�s energy. Secondly, the trip was very long so the cyclist had a hard time conserving water. For instance, the man drank so much water, he almost ran out; �The water bottle contained only dehydration which can cause death. Joe Kurmaskie�s story, �Rough Road Ahead. Do Not Exceed Posted Speed Limit,� represents how certain conditions of an environment can affect a cyclist.  	2	3		3																					
13	3	"There was many features that affected the cyclist such as heat and lack of water. The cyclist was drinking a lot of water throughout the story and ends up only having little water left. �I eased past, trying to keep my balance in my dehydrated state.� That shows he wasn�t prepared with enough water for his trip to Yosemite. Without water he/she would die from the heat. �Wide rings of dried sweat circled my shirt, and the growing realization that I could drop from heat stroke"" This states that he @CAPS1 the danger of not having enough water in his system. Features such as water and heat affected him/her throughout the story. Not having enough water could make him/her lose more sweat and the heat is making him lose even more sweat which can cause extreme heatstroke."	3	2		3																					
14	3	The features in the setting affected the cyclist in many ways. Initially, when the cyclist went through the road with the big snake in the middle of it made him keep cations and very unease. Furthermore, the desert and nothing around gave the cyclist of abandoness and no help for when he is I trouble. Finally, the cyclist is greatly relieved when he sees the bait store and that people are there. The features in the setting greatly affected the cyclist on his ride.	1	2		2																					
15	3	The features of the setting in �Rough Road Ahead:Do Not Exceed Posted Speed Limit,� by Joe kurmaksie,greatly affect the cyclist and put him through many hardships that he probably could have avoided.The old cotagers told him about a path they thought was right,but was hard and did not get him to the right place.The features of the setting are described as �flat road was replaced by short rolling hills.�	1	1		1																					
17	3	Many different characteristics in a setting and determine the outcome of an event there. Im the story, Rough Road Ahead Do Not Exceed Posted Speed Limit, the cyclists journey was affected my a few weather relouded things. The heat was an extreme thing that showed him down and in most cases detened him from reading his maximum level of ability. Also the time of your in which this labes place, greatly affects the cyclist. Lastly, the type of road and amount of ground that he has to cover after affects his performance. Overall, setting can be a determining factor in a journey as they life	2	2		2																					
