essay_id	essay_set	essay	rater1_domain1	rater2_domain1	rater3_domain1	domain1_score	rater1_domain2	rater2_domain2	domain2_score	rater1_trait1	rater1_trait2	rater1_trait3	rater1_trait4	rater1_trait5	rater1_trait6	rater2_trait1	rater2_trait2	rater2_trait3	rater2_trait4	rater2_trait5	rater2_trait6	rater3_trait1	rater3_trait2	rater3_trait3	rater3_trait4	rater3_trait5	rater3_trait6
1	2	Newspaper staff and/or whom it @MONTH1 concern,      Reading material found in a library is very useful and informative to the world, there is no limit to what could be found on paper. Whether it be offensive or not, having limits to books will only create tension, effect the economy, and will lead to illegal activity, ironically enough, in which offensive books will be written and sold, completely undercover.      In today's world, it would be nearly impossible to pick up a book and factually state that it is not offensive. Almost everyone has some little issue with something in the world today, and because of that, original and unoffensive material are hard to come by. With the stripping of offensive material from libraries, authors will be devastated, not just emotionally, but will be out of a job and will have less income. Because of how virtually impossible it is to write a book that is not offensive, authors will become very frustrated, and most are very passionate about what they do. Also, because almost all reading material is offensive in some way, there will be little to no reading material on the selves of the world or nation's libraries. @CAPS1 could potentially lead to violent protests that quickly tear down even the most successful of nations. However, physical devastation would not be the only toll paid for the stripping of offensive reading material from libraries      Books cost money; to make books costs money, to buy books costs money. Paper companies would take a major nose-dive in the market, having almost no clientel. When a major divistion such as the paper industry falls, it will bring others down as @CAPS2, and due to the nation's market complexity, almost all major companies rely on paper. @CAPS1 would ruin the economy. Some might say, '@CAPS1 means that the people of @LOCATION1 will be much more green!' @CAPS2, the past few centuries when economics and the environment are put on a scale, economics takes the cake by a mile. Obviously, @CAPS1 will do much more harm than good. The people of the world always have a priority. Also, the majority of the people don't enjoy having something taken that they have grown so fond to.      People, in general, want what they can't have. An obvious example would be illegal drugs; the drug market is extremely successful, but it's illegal. If people were to have these currently illegal drugs for their use, being completely legal, chances are that the success of drug marketing will plummet. The opposite situation for books: We have them now, but when they are taken, we will want them even more. People who read tend to be very passionate about literature and very intellegent. All it takes is one group to gain numbers, and have a very talented speaker persuede others to follow in a potentially violent revolt to be given back permission to write and publish alleged 'offensive' books. All other material found in libraries, such as music and movies, being taken away will have the same effects, give or take a few similarities or differences.      Avoiding such problems is easy, keep the books and all other material in a library on the shelves. It will only be problematic to take it all away, especially for being offensive, when there are very few books that the general population will find not offensive. If keeping the material in libraries means individuals will become offended for very different reasons, let it be organized chaos. @CAPS1 is how people work, and keeping the material on the selves is how the people are pleased or motivated	4			0																					
2	2	Books, music, movies, magazines, we've all had the pleasure of seeing/reading/watching our favorites, but many are considered unsatisfactory in their content to younger children. Parents, now than ever, are concerned about how their children are raised, and are always looking to clear inappropriate things away from their lives. Things with heavy violence, gore, language and even scenes of sexual content, all of these are wanted by all parents to be censored from their childs' eyes. There are many reasons why parents worldwide wish to hide these things from the eyes of the young, such as; personal influence, emotional growth and even the chance of a child becoming disobedient to the parent. These are all valid reasons why some things should be removed from the public eye.     Again, we've all read or heard things that affect us personally, maybe you read on how you can make your life happier, or maybe you heard an inspirational song that conviced you to follow your dreams. Well, this is also true for everyday books, movies, magazines or music. If someone is introduced to something telling of a life with hatred or someone living in a violent way, it can influence a young reader to wish to live the same style of life if it sounds even a little remotely fun. True, children are encouraged to have fun, but to a certain, but safe extent.     These are even known to affect someone's emotions. Maybe a great song that made you happy, or a movie that made you laugh. But it is true the opposite way as well. Songs that are dark and have a gloomy feeling to them can make a person feel depressed, or a scary movie @MONTH1 leave a person with a new fear or a nightmare in their sleep the same night. It has even been known that some children are left traumatized for life just because they weren't ready for what they saw in certain violent and gorey scenes. These are all things that parents want to keep away from their children in order to keep them safe. People are very easily moved by any form of information, song and story alike. It is our responsibility to keep the good influences around and keep the bad ones away.     Children are easily affected in behavior, maybe they just saw a movie of @CAPS1 @CAPS2 and thought he was so cool and they wanted to be just like him. If a child is exposed to a movie of great violence or bad influence, the child @MONTH1 then start following what happened in it and begin not listening to their parents. It is only right to keep these bad influences away until they are able to handle things so violent or misfortunate.     So yes, certain materials should be taken away from the public eye, for the safety of the community and for its' children. Books, movies, music, magazines - We've all seen/read/listened to them, but what have they influenced on you? Have you become a better person for doing so? Or a worse one? Or maybe you weren't affected at all? We need to be careful about what is available to us and to the rest of the world. Keeping the bad things away from our children and from anyone who can be influenced in a negative way is a top priority for any one person, group or business.	2			2.5																					
3	2	Dear @CAPS1,     @CAPS2 are many books, music, and magazines that are saturated with offensive words or obscene themes.  However, just because a book or song contains an foul word does not mean that the book needs to be sheltered from the public's eyes.  @CAPS2 are many reasons we should not censor public media.  We cannot ignore wrongdoings happening in our world; plus, in @LOCATION1, we have the freedom of speech; and, finally, if media was censored, people @MONTH1 start to think every little word has an offensive connotation.     If a bystander observes a person being abused in a hallway or alley, the bystander just cannot pretend like the incident never happened.  If the world never reported accidents, @CAPS2 would be too much crime and terror.  Sometimes, a book or movie is like a cry for help or a way to raise awareness about some wrongdoing in the world today.  Most of the time, I only hear about an event through movies or books, and I want to know the honest story, not a fairytale version of it.  After all, if the language in some slavery books was not as vivid as it is, some people @MONTH1 not oppose slavery as strongly as they do.    Here in @LOCATION1, we have the freedom of speech.  We are allowed to give our opinions on any topic, and describe it in any way.  We should be permitted to say anything we want, even though in our hearts, we should know what is right and wrong.  People should at least be trusted enough to use their own conscience.     Also, another reason why books and other media should not be censored is because people @MONTH1 judge almost every little word offensive then.  Then we @MONTH1 have 'no books left on the shelf' according to Katherine Paterson.  Once people are allowed to censure books or other media, they would look for words with negative connotations.  If a word was close to being offensive in one person's perspective, it would be left out.  Then, many words would be gone.     Sure some types of media, especially songs and movies, just spill out nasty themes and foul language.  However, I have the choice to watch a movie or listen to a song.  I can always change the radio station if I do not like what I am hearing.  People however, just cannot remove the words of another right from their mouth, no matter how bad it is.  We just cannot pretend that we all live in a perfect world where everyone is polite and caring.  If we hear about something wrong in our world today, we need to act.  However, we might not act if we do not know the full extent of its terror.                                                            Sincerely,                                                              @PERSON2	2			2.5																					
6	2	In the quote that @PERSON1 wrote she talks about how books can be taken down from a shelf if it is too provokative.  This is a very interesting quote.  She talks about how things should be taken of the shelf to prevent the children from seeing it.  In everyday life there are things that are said in movies, music, and magazines that kids should never watch, hear or read.      Some movies can be way too provokative.  Directors try and cover them up, but we know what they are trying to get across.  Some scenes can get out of control and there is no stopping it.  People wish they could close their eyes and it would all be over.  When parents get movies they try and keep those scenes hidden from their children.  The parents do not want to get their child having bad ideas of what the movies are saying.  To many children take the movies to the extreme and try and act like the actors or actresses, and the children end up getting hurt from these actions.     Music is especially one to do this.  There are not a lot of  songs in the world that do not involve language, drugs, or sexual content in it.  Many parents do not want them to be exeposed to that way to soon.  If people listen to this they might want to try it and end up going down a wrong path from these words that are said.  Mothers do not want to go get their child out of jail from doing something that was just like the song they like to listen to.  That is not a mothers dream to go and do that.     There are too many magazines that try and expose women.  They use this to try and see more magazines.  This is wrong to do.  A little while back a magazine took pictures of a girl and tried to expose her, this is just wrong.  Parents do not want their children to look at this and get the wrong idea.  When girls look at a model in a magazine they try and be just like the model.  They girls end up being underweight, sick, and maybe do drugs.  Parents if they see this should take the magazine away from them if it is not what they approve.          Some parents let their kids get away with too much.  They should censor what their children do.  Some kids will try and get around them so there is not helping them.  Everyones point of view is different.  People @MONTH1 think that this scene is to provocative and another person @MONTH1 look at that and say there is nothing wrong.  It just depends on how society feels about the whole situation.  If we were to take a movie or music down because of what they say then there would be no contents on the shelf	2			2.5																					
7	2	Libraries are a great resource for information all around the world.  They contain many different styles and genres of books.  Some might not be appropriate for young children to read.  There are people that debate whether or not some books are too offensive to be put up on library shelves.  I believe that no book should be denied of this right.  Most children that go to a library already know what kind of book they want and are with an adult at all times.     Most libraries have children sections.  Offensive books are most likely found in the teenager or adults sections, not the children section.  So, to my defense, there could really be no way that a child would seek out these 'offensive' books anyway.  Children today are exposed to more explicit topics, but I doubt they would want to read a book about them.     Next, if a child goes up to the check out desk the librarian should be able to tell their parent or guardian that certain book is not suitable for that age of child.  Going back to my point of children usually go to libraries with their guardians, they should be supervised at all times while in a library.  If an adult cares that much about what their child reads they can easily decide what is offensive or not.     Finally, authors should not be punished for writing something they believe in or like.  They worked hard on writing and publishing their novels, they should be able to show them off.  If librarians do take off books for being offensive to some adults, a lot of books will be gone from the shelves.  The quote used for this essay explains this thought more thoroughly.  People should be able to read whatever they want, offensive or not.  Children being able to do this? Depends on the parent.      There is no way a child could check out an offensive book, take it home, and read it without their guardian knowing.  Yes, all parents do not care about what their child reads, so this could happen.  Just because some adults complained about books being too offensive for their children doesn't mean a revolt has to happen.  Those parents should just step up and be more strict about what their child can and cannot read.  Some of the most 'offensive' books out there are the very best to read.	2			2.5																					
8	2	I think that everyone has different views on different things so I dont think that they should be because if they would be that would be against the first amendment where it says everyone have the freedom of religion and speech.  If you disagree with the book or whatever it @MONTH1 be you can just ignore it and keep walking and never have to pay any attention to it.  People these days are taking things way to far with their opinions.     People need to mind their own business and stop thinking the world revolves around them.  There several billion people in the @LOCATION1 and every person looks at thing slightly different and this should be taken into consideration when the get mad just because there is a book or movie on the shelf of the library.  For example I like movies with comedy and sometimes a scary movie but girls @MONTH1 not like scary movies and @MONTH1 like movies with droma or somthing in that line.  Just because we like different things doesn't mean we should have to put just a so certain kind of books or movies on the shelf.       Yes, there are movies that I dont like because they stand for things that are against my religion but I dont stand around and say no one should watch these movies because just because I dont beleive in them doesn't mean I should judge other people for it.  I know some people feel that everyone one should look at things the same way as they do and everyone should should agree and get along but that is not how it is and no matter how much you want people to agree and get along it will never happen.  I think people need to mind their own business and let people read, listen to, and watch whatever they want to and it should not affend anyone.     I know people like to think that they know everything there is to know just because they have their own ways and thoughts.  People like this you can argue with and you will never win the arguement and you can never get them to understand how you look at it. They just think think my way is the right way and the only way.       This is the way I feel about people getting mad when there is a book or movie on the shelf that they dont not agree with.  I just think that evryone should try to undersatnd what you are saying and listen to you instead of ignoring you.  I feel this way but I am not a person that is tuck in their ways where you cant change their mind.	1			3.75																					
11	2	I belive that beople have the right to know and learn about stuff even if it is found offensive, the reasone why i say this is because if one person finds it offensive doesn't mean that another person might think it is. If people think that a film from back in the late @NUM1's about the @ORGANIZATION1 that is used for educational perposes is racist, then they need to just grow up and to go back to school for this stuff. Just because some people think that a book with vulger language is offencive then they need to know that more than half of the worlds book have profanitey in them and just because it does, doesn't mean that they need to be removed form the shelfs in the library.     I have had my own incounters with books that i thought were offencive, there was a book that i was reading in my fresh year of high school and there were people in it that were part of the @PERSON2 and they were having meetings and one guy said that he hated negros and they he had picked one for tonigh and were going to lynch them with the nuse they had made the night before and that really hurt me because I have some one in my famliy that is black and to think about someone doing that to him, that would just break my heart and I would probaly go out and find the people that did it and kill them.       In the quote that was writen by Katherine Paterson, she talked about how if she has the right to remove a book then we do to and if we do so then there will be no more books left for us on the shelf is a great way to say that almost everybook we have has something volger in them and if we were to take them all away then there would be none left. If there was the posibility of all the books being taken away from us then there would be a huge uprising and everything would be going down hill form there, because there are people that can't go a day with out reading a part of there book and some people have devoted three hours to reading ounce a day.     What im trying to say is that there is no way to get rid of our books today that have volger langage or something offencive in them because if we tryed to do that then we would be taking every book away in the world and then no one would be learning anything	1			3.75																					
12	2	No, I dont think you should be able to take the magazines off the shelf because it is pointless,to some people @MONTH1 find everything offensive and others @MONTH1 not find it offensive like me personally stuff people find offinsive I find it kind of humorous.       And I understand how some people are more likely to be offended because of say their sexuality or ethnicity. But other than that there should be no censorship it makes the place that is doing it seem like they are very strict and because of those strict policys it makes some people wanna go there less to get what they want and who knows the thing you @MONTH1 want @MONTH1 be censored.  And I understand that when you have a kid you dont want them to fo the wrong things in life and try and keep them away from the bad stuff as long as possible.  But as your child grows older he will be introduced to older/adult type material and you should cut them a break and not punish them very bad when something like that happens.  From my humble opinion some parents are very strict about censorship and I completely understand the parents point of view.     Eventually people will have to let their children find out about certain things, so you might as well allow them to see it at possibly the age of @NUM1 or so that seems like a suitable age for early privelages.  When it comes to taking items off a shelf some peole have worse judgement than other people and that can effect everyone from their bad judgement.	3			1.2																					
13	2	In libraries there are a bunch of books, music, movies, magazines, and etc. to let the general public check out. This topic about censorship in libraries is a diffitcult one because everyone has different views on things in life. Certain materials in libraries should not be remove from the shevles if they are found offensive by someone.           Being in a library there are lots of choices to see and check out. In a library, someone comes arcoss a book or a movie that seems offensive to them. That someone should just look at the other way because a library is for the general public. It seems to be harse about this, but it is not up to that person if the material in the library should or should not be in that library. The materials that are offensive to people could be in a special place in the library to comitdate everyone.      Libraries have the right to censor any type of material that seems or is offensive to the community. This is right if the community strongly agrees with their local libraries. If the whole community disagree with a library about a certain material then the community have a say in it.      Yes, there are books out in libraries that are offensive to a group of people, but that does not mean take that material out of the library. Our country, @LOCATION1, say that everyone has the right to free speech. @LOCATION1 @LOCATION1 has banned books thats are offensive to @CAPS1, but other countries around the @LOCATION2 might have those books in their libraries.      There is a thick line if a certain type of material in a library is offensive or not. Someone should not have the right if a  book seems offensive to that person, but if the whole community says that the book is offensive then yes.      The libraries and the community have choices to not have a offensive book on the self. If it is offensive to everyone then it should be off the shelf. Censorship is a diffitcult topic to agured on	4			0																					
16	2	Censorship in Libraries     I think that censorship in a library is fine some people @MONTH1 feel that children don't need to see certain things. Which that @MONTH1 be true there are a lot of things that even adult shouldn't even see themselves. If there is going to be bad things in the library the owners might make a section just for those things.      People should have the right to be able to look at anything that they want in the library	0			5																					
